COLLISION_ID,NUM_ACCIDENTS_BOROUGH,NUM_ACCIDENTS_ON_STREET,TIME_OF_DAY,SEVERITY,TEMPERATURE,RAIN_INTENSITY,CLOUDCOVER,WIND_INTENSITY,TRAFFIC_VOLUME,MEDIA,IS_NOT_FATAL
4202340,1067,47,morning,minor,mild,null,0,weak,medium,76.9,1
4215883,1067,47,afternoon,moderate,mild,null,0,weak,light,76.9,0
4202751,1067,47,evening,moderate,mild,weak,0,weak,light,76.9,0
4205957,1067,47,morning,minor,mild,null,0,weak,light,76.9,1
4201906,1067,47,night,minor,mild,null,0,weak,light,76.9,1
4204536,1067,25,afternoon,minor,mild,weak,0,weak,medium,159.8,1
4203528,1067,47,evening,moderate,mild,null,0,weak,light,76.9,0
4204544,1067,25,morning,minor,mild,null,0,weak,medium,159.8,1
4203548,1067,3,evening,minor,mild,null,0,weak,light,70.33,1
4204740,1067,3,afternoon,moderate,mild,null,0,weak,light,41.22,0
4205744,1067,47,evening,moderate,hot,null,0,weak,medium,76.9,0
4204768,1067,47,morning,minor,mild,null,0,weak,light,76.9,1
4204371,304,32,afternoon,minor,mild,null,1,weak,medium,166.78,1
4204103,1067,47,night,moderate,hot,null,0,weak,light,76.9,0
4206932,1067,25,afternoon,minor,mild,null,0,weak,medium,159.8,1
4204295,1067,47,morning,moderate,mild,null,0,weak,light,76.9,0
4205078,1067,47,morning,minor,mild,null,0,weak,light,76.9,1
4208674,1067,47,evening,moderate,mild,null,0,weak,light,76.9,0
4206915,1067,25,afternoon,minor,mild,null,1,weak,medium,159.8,1
4206216,1067,47,evening,moderate,mild,null,1,weak,light,76.9,0
4210820,304,32,evening,moderate,mild,null,0,weak,light,166.78,0
4204920,304,32,morning,minor,mild,null,0,weak,medium,166.78,1
4208361,304,32,evening,moderate,mild,null,1,weak,medium,166.78,0
4206362,304,32,evening,moderate,mild,null,1,weak,medium,166.78,0
4210065,1067,47,night,minor,mild,null,0,weak,light,76.9,1
4208276,304,32,afternoon,minor,mild,null,0,weak,medium,166.78,1
4207915,1514,1,evening,moderate,mild,null,0,weak,light,16.0,0
4207342,1067,25,evening,minor,mild,null,0,weak,medium,159.8,1
4208077,676,3,evening,minor,mild,null,0,weak,medium,217.12,1
4209412,304,32,afternoon,minor,mild,null,0,weak,medium,166.78,1
4208094,676,3,morning,minor,mild,null,0,weak,medium,217.12,1
4209403,304,32,morning,minor,mild,null,0,weak,medium,166.78,1
4208256,1067,25,morning,minor,mild,null,0,weak,medium,159.8,1
4210498,1067,16,evening,minor,mild,null,0,weak,medium,109.09,1
4208091,1067,16,morning,minor,mild,null,0,weak,medium,109.09,1
4209749,304,1,morning,moderate,mild,null,0,weak,medium,107.0,0
4210951,676,3,evening,moderate,mild,null,0,weak,medium,217.12,0
4210715,304,32,evening,minor,mild,null,0,weak,medium,166.78,1
4209507,304,32,morning,moderate,mild,null,0,weak,medium,166.78,0
4209784,676,7,afternoon,minor,mild,null,0,weak,light,58.93,1
4209925,676,28,afternoon,minor,mild,null,0,weak,medium,84.61,1
4210708,1514,178,evening,moderate,hot,null,0,weak,light,111.61,0
4212700,676,22,evening,moderate,hot,null,0,weak,light,59.18,0
4215896,676,22,evening,moderate,hot,null,0,weak,light,59.18,0
4210676,1067,9,afternoon,minor,mild,null,0,weak,light,100.94,1
4209694,676,42,afternoon,minor,mild,null,0,weak,medium,131.94,1
4210330,1067,252,afternoon,minor,mild,null,0,weak,medium,200.64,1
4210309,1067,252,evening,moderate,hot,null,0,weak,medium,200.64,0
4212037,1067,44,evening,minor,mild,null,0,weak,light,118.47,1
4209880,1514,178,afternoon,moderate,mild,null,0,weak,medium,111.61,0
4209854,676,25,afternoon,minor,mild,null,0,weak,light,54.79,1
4210272,1067,252,afternoon,minor,mild,null,0,weak,medium,200.64,1
4210628,304,32,afternoon,moderate,mild,null,0,weak,medium,166.78,0
4209956,676,11,evening,moderate,mild,null,0,weak,light,78.45,0
4210266,1067,12,afternoon,moderate,hot,null,0,weak,medium,71.29,0
4210185,676,42,afternoon,minor,mild,null,0,weak,medium,131.94,1
4209883,1067,11,night,moderate,mild,null,0,weak,light,185.7,0
4211506,1067,11,night,moderate,mild,null,0,weak,light,185.7,0
4210525,1067,11,night,moderate,mild,null,0,weak,light,106.09,0
4210964,676,2,morning,moderate,mild,null,0,weak,medium,114.5,0
4209905,676,86,evening,minor,mild,null,0,weak,medium,190.94,1
4210222,1067,252,evening,minor,mild,null,0,weak,medium,200.64,1
4210543,676,86,morning,minor,mild,null,0,weak,medium,190.94,1
4210112,676,86,morning,minor,mild,null,0,weak,medium,190.94,1
4211121,676,28,morning,minor,mild,null,0,weak,medium,84.61,1
4212021,1067,44,night,minor,mild,null,0,weak,light,118.47,1
4210183,676,28,afternoon,minor,mild,null,0,weak,medium,84.61,1
4210199,1067,12,afternoon,moderate,mild,null,0,weak,light,71.29,0
4210450,60,18,evening,minor,mild,null,0,weak,light,163.63,1
4210642,676,86,evening,moderate,mild,null,0,weak,light,190.94,0
4210465,1514,178,night,minor,mild,null,0,weak,light,111.61,1
4212202,1067,252,night,minor,mild,null,0,weak,medium,200.64,1
4210198,60,18,afternoon,moderate,mild,null,0,weak,medium,163.63,0
4209921,676,28,night,minor,mild,null,0,weak,light,84.61,1
4214124,1067,252,afternoon,minor,mild,null,0,weak,medium,200.64,1
4210743,1514,178,afternoon,minor,mild,null,0,weak,light,111.61,1
4211254,1067,15,afternoon,minor,mild,null,0,weak,medium,94.7,1
4215350,1067,44,morning,moderate,mild,null,0,weak,light,118.47,0
4210523,676,7,evening,moderate,hot,null,0,weak,medium,216.43,0
4213210,60,18,evening,minor,hot,null,0,weak,medium,163.63,1
4210630,676,42,evening,minor,hot,null,0,weak,light,131.94,1
4210524,676,86,evening,minor,hot,null,0,weak,medium,190.94,1
4210467,1514,178,evening,minor,hot,null,0,weak,light,111.61,1
4210739,304,32,evening,moderate,hot,null,0,weak,medium,166.78,0
4210362,676,2,evening,minor,hot,null,0,weak,medium,114.5,1
4210409,676,25,evening,minor,hot,null,0,weak,light,54.79,1
4210555,1514,178,afternoon,minor,hot,null,0,weak,light,111.61,1
4210214,676,28,afternoon,minor,hot,null,0,weak,light,84.61,1
4211638,1067,8,morning,moderate,mild,null,0,weak,light,62.81,0
4209940,676,42,night,minor,mild,null,0,weak,light,131.94,1
4210197,60,18,night,moderate,mild,null,0,weak,light,163.63,0
4214496,1067,25,evening,moderate,hot,null,0,weak,light,159.8,0
4216203,676,10,evening,moderate,hot,null,0,weak,light,81.08,0
4210431,60,18,night,moderate,mild,null,0,weak,light,163.63,0
4212001,60,8,night,minor,mild,null,0,weak,light,156.12,1
4209965,676,11,night,minor,mild,null,0,weak,light,78.45,1
4210116,1067,16,night,moderate,mild,null,0,weak,light,70.75,0
4213494,1514,4,evening,moderate,hot,null,0,weak,light,39.56,0
4211157,676,28,evening,moderate,hot,null,0,weak,light,84.61,0
4210869,676,42,morning,minor,mild,null,0,weak,medium,131.94,1
4210950,676,42,morning,minor,mild,null,0,weak,medium,131.94,1
4211190,60,18,morning,minor,mild,null,0,weak,medium,163.63,1
4211031,676,28,morning,minor,mild,null,0,weak,light,84.61,1
4211629,1067,25,morning,moderate,mild,null,0,weak,medium,159.8,0
4211152,676,22,morning,minor,mild,null,0,weak,light,59.18,1
4211328,1514,178,morning,minor,mild,null,0,weak,light,111.61,1
4211046,1067,252,afternoon,minor,mild,null,0,weak,medium,200.64,1
4212362,676,7,afternoon,minor,mild,null,0,weak,light,58.93,1
4211373,1067,11,afternoon,minor,mild,null,0,weak,light,106.09,1
4211187,60,18,afternoon,moderate,mild,null,0,weak,medium,163.63,0
