Y,M,D,HH,MM,BOROUGH_x,LATITUDE,LONGITUDE,STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover_low (%),windspeed_10m (km/h),winddirection_10m (°),BOROUGH_y,VOL
2019,9,23,12,15,QUEENS,40.758026,-73.85776,112 STREET,NORTHERN BOULEVARD,,0,0,21.2,0.0,0.0,0.0,9.8,216.0,QUEENS,214.75
2019,9,23,12,45,MANHATTAN,40.76229,-73.986115,WEST 50 STREET,8 AVENUE,,1,0,21.2,0.0,0.0,0.0,9.8,216.0,BROOKLYN,64.5
2019,9,23,12,30,BROOKLYN,40.680138,-73.90566,HULL STREET,BROADWAY,,0,0,21.2,0.0,0.0,0.0,9.8,216.0,MANHATTAN,84.5
2019,9,23,21,0,BROOKLYN,40.664604,-73.97685,PROSPECT PARK WEST,9 STREET,,0,0,29.9,0.0,0.0,0.0,14.8,209.0,BROOKLYN,50.0
2019,9,23,7,45,BROOKLYN,40.638577,-73.90414,REMSEN AVENUE,AVENUE J,,3,0,21.9,0.0,0.0,0.0,12.6,217.0,BROOKLYN,59.5
2019,9,23,15,45,MANHATTAN,40.7601,-73.98482,WEST 48 STREET,BROADWAY,,0,0,25.6,0.0,0.0,0.0,11.5,226.0,MANHATTAN,100.5
2019,9,23,15,0,QUEENS,40.750416,-73.897736,65 STREET,35 AVENUE,,0,0,25.6,0.0,0.0,0.0,11.5,226.0,QUEENS,93.75
2019,9,23,15,30,BROOKLYN,40.68532,-73.98071,3 AVENUE,ATLANTIC AVENUE,,0,0,25.6,0.0,0.0,0.0,11.5,226.0,BROOKLYN,256.0
2019,9,23,15,0,QUEENS,40.696217,-73.7436,LINDEN BOULEVARD,SPRINGFIELD BOULEVARD,,1,0,25.6,0.0,0.0,0.0,11.5,226.0,QUEENS,53.25
2019,9,23,18,45,MANHATTAN,40.848392,-73.937675,WEST 178 STREET,BROADWAY,,0,0,29.5,0.0,0.0,0.0,14.3,221.0,MANHATTAN,90.5
2019,9,23,18,45,BROOKLYN,40.609776,-73.9643,EAST 9 STREET,AVENUE P,,0,0,29.5,0.0,0.0,0.0,14.3,221.0,BROOKLYN,125.5
2019,9,23,18,0,QUEENS,40.69662,-73.8162,133 STREET,ATLANTIC AVENUE,,0,0,29.5,0.0,0.0,0.0,14.3,221.0,BROOKLYN,204.0
2019,9,23,16,30,,40.730137,-73.862366,QUEENS BOULEVARD,63 DRIVE,,0,0,26.7,0.0,0.0,0.0,11.5,224.0,QUEENS,70.5
2019,9,23,16,45,MANHATTAN,40.720753,-74.01008,GREENWICH STREET,BEACH STREET,,0,0,26.7,0.0,0.0,0.0,11.5,224.0,STATEN ISLAND,35.0
2019,9,23,16,45,QUEENS,40.696217,-73.7436,LINDEN BOULEVARD,SPRINGFIELD BOULEVARD,,1,0,26.7,0.0,0.0,0.0,11.5,224.0,QUEENS,50.25
2019,9,23,17,30,BROOKLYN,40.667095,-73.92276,RALPH AVENUE,EAST NEW YORK AVENUE,,1,0,28.2,0.0,0.0,0.0,12.4,216.0,BROOKLYN,109.5
2019,9,24,13,0,BROOKLYN,40.617382,-73.965744,EAST 9 STREET,AVENUE M,,1,0,20.4,0.0,0.0,0.0,10.8,272.0,BROOKLYN,43.5
2019,9,24,8,30,BROOKLYN,40.673183,-74.00262,LORRAINE STREET,CLINTON STREET,,0,0,20.3,0.0,0.0,0.0,12.3,273.0,BROOKLYN,123.0
2019,9,24,8,30,QUEENS,40.752403,-73.92442,STEINWAY STREET,NORTHERN BOULEVARD,,1,0,20.3,0.0,0.0,0.0,12.3,273.0,QUEENS,253.0
2019,9,24,8,0,,40.745617,-73.75496,67 AVENUE,SPRINGFIELD BOULEVARD,,0,0,20.3,0.0,0.0,0.0,12.3,273.0,QUEENS,56.5
2019,9,24,22,30,BROOKLYN,40.625893,-73.92661,EAST 51 STREET,AVENUE K,,0,0,22.6,0.0,0.0,1.0,13.8,319.0,BROOKLYN,23.5
2019,9,24,15,0,QUEENS,40.726315,-73.789986,178 STREET,UNION TURNPIKE,,0,0,22.0,0.0,0.0,48.0,15.5,298.0,QUEENS,164.5
